classname	QC;CnotQ;QnotC;notCnotQ	p_value	q_value
meo:MEO_0000311	0;4;57;173298	1.0	1.0
meo:MEO_0000313	0;11;57;173291	1.0	1.0
meo:MEO_0000315	0;4;57;173298	1.0	1.0
meo:MEO_0000316	0;181;57;173121	1.0	1.0
meo:MEO_0000319	0;22;57;173280	1.0	1.0
meo:MEO_0000324	0;1;57;173301	1.0	1.0
meo:MEO_0000326	0;42;57;173260	1.0	1.0
meo:MEO_0000330	0;74;57;173228	1.0	1.0
meo:MEO_0000333	0;37;57;173265	1.0	1.0
meo:MEO_0000336	0;44;57;173258	1.0	1.0
meo:MEO_0000337	0;3;57;173299	1.0	1.0
meo:MEO_0000339	0;1;57;173301	1.0	1.0
meo:MEO_0000342	0;155;57;173147	1.0	1.0
meo:MEO_0000345	0;3;57;173299	1.0	1.0
meo:MEO_0000346	0;224;57;173078	1.0	1.0
meo:MEO_0000347	0;1;57;173301	1.0	1.0
meo:MEO_0000351	0;137;57;173165	1.0	1.0
meo:MEO_0000352	0;4;57;173298	1.0	1.0
meo:MEO_0000354	0;1;57;173301	1.0	1.0
meo:MEO_0000357	0;1;57;173301	1.0	1.0
meo:MEO_0000360	0;3;57;173299	1.0	1.0
meo:MEO_0000361	0;17;57;173285	1.0	1.0
meo:MEO_0000362	0;19;57;173283	1.0	1.0
meo:MEO_0000364	0;41;57;173261	1.0	1.0
meo:MEO_0000365	0;4;57;173298	1.0	1.0
meo:MEO_0000366	0;253;57;173049	1.0	1.0
meo:MEO_0000370	0;192;57;173110	1.0	1.0
meo:MEO_0000373	0;135;57;173167	1.0	1.0
meo:MEO_0000376	0;12;57;173290	1.0	1.0
meo:MEO_0000377	0;16;57;173286	1.0	1.0
meo:MEO_0000379	0;300;57;173002	1.0	1.0
meo:MEO_0000380	0;78;57;173224	1.0	1.0
meo:MEO_0000383	0;124;57;173178	1.0	1.0
meo:MEO_0000384	0;4;57;173298	1.0	1.0
meo:MEO_0000386	0;8481;57;164821	1.0	1.0
meo:MEO_0000388	0;5;57;173297	1.0	1.0
meo:MEO_0000390	0;68;57;173234	1.0	1.0
meo:MEO_0000391	0;35;57;173267	1.0	1.0
meo:MEO_0000394	0;87;57;173215	1.0	1.0
meo:MEO_0000395	0;2774;57;170528	1.0	1.0
meo:MEO_0000397	0;97;57;173205	1.0	1.0
meo:MEO_0000399	0;302;57;173000	1.0	1.0
meo:MEO_0000401	0;5;57;173297	1.0	1.0
meo:MEO_0000403	0;574;57;172728	1.0	1.0
meo:MEO_0000407	0;4926;57;168376	1.0	1.0
meo:MEO_0000413	0;271;57;173031	1.0	1.0
meo:MEO_0000414	0;11;57;173291	1.0	1.0
meo:MEO_0000416	0;1;57;173301	1.0	1.0
meo:MEO_0000417	0;1487;57;171815	1.0	1.0
meo:MEO_0000418	0;702;57;172600	1.0	1.0
meo:MEO_0000419	0;1061;57;172241	1.0	1.0
meo:MEO_0000420	0;1;57;173301	1.0	1.0
meo:MEO_0000421	0;360;57;172942	1.0	1.0
meo:MEO_0000422	0;2613;57;170689	1.0	1.0
meo:MEO_0000425	0;514;57;172788	1.0	1.0
meo:MEO_0000444	0;1;57;173301	1.0	1.0
meo:MEO_0000449	0;22;57;173280	1.0	1.0
meo:MEO_0000453	0;42;57;173260	1.0	1.0
meo:MEO_0000458	0;6504;57;166798	1.0	1.0
meo:MEO_0000459	0;8;57;173294	1.0	1.0
meo:MEO_0000460	0;2122;57;171180	1.0	1.0
meo:MEO_0000461	0;37;57;173265	1.0	1.0
meo:MEO_0000462	0;1269;57;172033	1.0	1.0
meo:MEO_0000463	0;79;57;173223	1.0	1.0
meo:MEO_0000464	0;19;57;173283	1.0	1.0
meo:MEO_0000465	0;24;57;173278	1.0	1.0
meo:MEO_0000467	0;3401;57;169901	1.0	1.0
meo:MEO_0000468	0;11031;57;162271	1.0	1.0
meo:MEO_0000469	0;32;57;173270	1.0	1.0
meo:MEO_0000470	0;56;57;173246	1.0	1.0
meo:MEO_0000471	0;1;57;173301	1.0	1.0
meo:MEO_0000472	0;7920;57;165382	1.0	1.0
meo:MEO_0000473	0;15;57;173287	1.0	1.0
meo:MEO_0000475	0;2825;57;170477	1.0	1.0
meo:MEO_0000476	0;17;57;173285	1.0	1.0
meo:MEO_0000479	0;2782;57;170520	1.0	1.0
meo:MEO_0000480	0;230;57;173072	1.0	1.0
meo:MEO_0000481	0;3;57;173299	1.0	1.0
meo:MEO_0000483	0;418;57;172884	1.0	1.0
meo:MEO_0000484	0;588;57;172714	1.0	1.0
meo:MEO_0000485	0;160;57;173142	1.0	1.0
meo:MEO_0000487	0;365;57;172937	1.0	1.0
meo:MEO_0000488	0;609;57;172693	1.0	1.0
meo:MEO_0000489	0;53;57;173249	1.0	1.0
meo:MEO_0000490	0;4967;57;168335	1.0	1.0
meo:MEO_0000491	0;9;57;173293	1.0	1.0
meo:MEO_0000492	0;1;57;173301	1.0	1.0
meo:MEO_0000494	0;3002;57;170300	1.0	1.0
meo:MEO_0000495	0;787;57;172515	1.0	1.0
meo:MEO_0000496	0;3507;57;169795	1.0	1.0
meo:MEO_0000497	0;158;57;173144	1.0	1.0
meo:MEO_0000499	0;6;57;173296	1.0	1.0
meo:MEO_0000500	0;17;57;173285	1.0	1.0
meo:MEO_0000501	0;6;57;173296	1.0	1.0
meo:MEO_0000502	0;13;57;173289	1.0	1.0
meo:MEO_0000503	0;13;57;173289	1.0	1.0
meo:MEO_0000504	0;683;57;172619	1.0	1.0
meo:MEO_0000506	0;989;57;172313	1.0	1.0
meo:MEO_0000511	0;2744;57;170558	1.0	1.0
meo:MEO_0000512	0;313;57;172989	1.0	1.0
meo:MEO_0000513	0;2;57;173300	1.0	1.0
meo:MEO_0000515	0;10;57;173292	1.0	1.0
meo:MEO_0000517	0;81;57;173221	1.0	1.0
meo:MEO_0000518	0;2;57;173300	1.0	1.0
meo:MEO_0000521	0;8;57;173294	1.0	1.0
meo:MEO_0000522	0;62;57;173240	1.0	1.0
meo:MEO_0000523	0;5350;57;167952	1.0	1.0
meo:MEO_0000524	0;1679;57;171623	1.0	1.0
meo:MEO_0000525	0;6;57;173296	1.0	1.0
meo:MEO_0000526	0;5;57;173297	1.0	1.0
meo:MEO_0000530	0;17;57;173285	1.0	1.0
meo:MEO_0000531	0;2;57;173300	1.0	1.0
meo:MEO_0000532	0;2215;57;171087	1.0	1.0
meo:MEO_0000535	0;639;57;172663	1.0	1.0
meo:MEO_0000536	0;1125;57;172177	1.0	1.0
meo:MEO_0000540	0;6;57;173296	1.0	1.0
meo:MEO_0000542	0;13;57;173289	1.0	1.0
meo:MEO_0000543	0;342;57;172960	1.0	1.0
meo:MEO_0000544	0;357;57;172945	1.0	1.0
meo:MEO_0000545	0;13;57;173289	1.0	1.0
meo:MEO_0000546	0;13;57;173289	1.0	1.0
meo:MEO_0000547	0;128;57;173174	1.0	1.0
meo:MEO_0000549	0;49;57;173253	1.0	1.0
meo:MEO_0000550	0;5443;57;167859	1.0	1.0
meo:MEO_0000551	0;218;57;173084	1.0	1.0
meo:MEO_0000554	0;97;57;173205	1.0	1.0
meo:MEO_0000557	0;1;57;173301	1.0	1.0
meo:MEO_0000558	0;10;57;173292	1.0	1.0
meo:MEO_0000559	0;191;57;173111	1.0	1.0
meo:MEO_0000560	0;238;57;173064	1.0	1.0
meo:MEO_0000562	0;64;57;173238	1.0	1.0
meo:MEO_0000563	0;6;57;173296	1.0	1.0
meo:MEO_0000564	0;6;57;173296	1.0	1.0
meo:MEO_0000566	0;253;57;173049	1.0	1.0
meo:MEO_0000567	0;50;57;173252	1.0	1.0
meo:MEO_0000570	0;244;57;173058	1.0	1.0
meo:MEO_0000571	0;13;57;173289	1.0	1.0
meo:MEO_0000572	0;13;57;173289	1.0	1.0
meo:MEO_0000573	0;57;57;173245	1.0	1.0
meo:MEO_0000574	0;28;57;173274	1.0	1.0
meo:MEO_0000575	0;18;57;173284	1.0	1.0
meo:MEO_0000579	0;189;57;173113	1.0	1.0
meo:MEO_0000580	0;189;57;173113	1.0	1.0
meo:MEO_0000581	0;13;57;173289	1.0	1.0
meo:MEO_0000583	0;520;57;172782	1.0	1.0
meo:MEO_0000584	0;75;57;173227	1.0	1.0
meo:MEO_0000585	0;9;57;173293	1.0	1.0
meo:MEO_0000586	0;6733;57;166569	1.0	1.0
